,CustomerID,Recency,Frequency,MonetaryValue,Cluster
0,12346.0,326,2,0.0,0
1,12347.0,2,182,4310.0,0
2,12348.0,75,31,1797.24,0
3,12349.0,19,73,1757.55,0
4,12350.0,310,17,334.4,0
5,12352.0,36,95,1545.41,0
6,12353.0,204,4,89.0,0
7,12354.0,232,58,1079.4,0
8,12355.0,214,13,459.4,0
9,12356.0,23,59,2811.43,0
10,12357.0,33,131,6207.67,0
11,12358.0,2,19,1168.06,0
12,12359.0,8,254,6245.53,0
13,12360.0,52,129,2662.06,0
14,12361.0,287,10,189.9,0
15,12362.0,3,274,5154.58,0
16,12363.0,110,23,552.0,0
17,12364.0,8,85,1313.1,0
18,12365.0,291,23,320.69,0
19,12367.0,4,11,168.9,0
20,12370.0,51,167,3545.69,0
21,12371.0,45,63,1887.96,0
22,12372.0,72,52,1298.04,0
23,12373.0,311,14,364.6,0
24,12374.0,25,33,742.9300000000001,0
25,12375.0,3,18,455.42,0
26,12377.0,315,77,1628.12,0
27,12378.0,130,219,4008.62,0
28,12379.0,82,41,850.29,0
29,12380.0,22,105,2720.56,0
30,12381.0,5,91,1803.96,0
31,12383.0,185,100,1839.31,0
32,12384.0,29,30,566.16,0
33,12386.0,338,10,401.9,0
34,12388.0,16,100,2780.66,0
35,12390.0,80,32,549.84,0
36,12391.0,22,100,460.89,0
37,12393.0,72,64,1582.6,0
38,12394.0,64,27,1272.48,0
39,12395.0,16,159,2998.28,0
40,12397.0,36,126,2409.9,0
41,12398.0,46,85,1635.66,0
42,12399.0,119,59,1108.65,0
43,12401.0,303,5,84.3,0
44,12402.0,323,11,225.6,0
45,12403.0,50,6,409.7,0
46,12405.0,149,54,1710.39,0
47,12406.0,22,108,3280.75,0
48,12407.0,50,77,1708.12,0
49,12408.0,33,113,2842.57,0
50,12409.0,79,114,11056.93,0
51,12410.0,301,28,681.0799999999999,0
52,12412.0,75,61,1226.88,0
53,12413.0,67,40,694.15,0
54,12414.0,217,18,562.41,0
55,12415.0,24,778,123725.45,1
56,12417.0,3,198,3578.8,0
57,12418.0,113,34,668.58,0
58,12420.0,64,29,600.39,0
59,12421.0,16,46,806.27,0
60,12422.0,96,39,803.5600000000001,0
61,12423.0,1,126,1849.11,0
62,12424.0,163,30,1760.96,0
